replication,fit_success,neg_log_likelihood,BIC,true_alpha,fitted_alpha,error_alpha,true_sigma,fitted_sigma,error_sigma,true_noise,fitted_noise,error_noise
4,True,4.40135589529851,18.82398237878953,0.4,0.499999475070973,0.09999947507097295,4.5,3.499999193300896,1.000000806699104,0.05,0.05,0.0
0,True,163.91432106209334,337.8499127123792,0.6,0.19999615403145354,0.40000384596854643,0.5,0.6999991411179056,0.19999914111790562,0.05,0.05,0.0
1,True,174.19312434889406,358.40751928598064,0.6,0.20000004254407766,0.3999999574559223,0.5,0.7000002315690316,0.20000023156903157,0.05,0.05,0.0
2,True,183.71484440204827,377.45095939228906,0.6,0.19999980381630103,0.400000196183699,0.5,0.6999999088817644,0.19999990888176444,0.05,0.05,0.0
3,True,196.329679312236,402.68062921266454,0.6,0.19999744623088694,0.40000255376911303,0.5,0.6999919354659587,0.19999193546595873,0.05,0.05,0.0
4,True,175.43517174642298,360.8916140810385,0.6,0.20000067866640367,0.3999993213335963,0.5,0.7000036423070637,0.2000036423070637,0.05,0.05,0.0
0,False,20.169872133074076,50.36101485434067,0.6,0.5,0.09999999999999998,2.0,3.5,1.5,0.05,0.05,0.0
1,True,20.62491264746533,51.27109588312317,0.6,0.5000021082153836,0.09999789178461638,2.0,3.5000018195720606,1.5000018195720606,0.05,0.05,0.0
2,True,18.22215764652369,46.46558588123989,0.6,0.5000004734627524,0.09999952653724753,2.0,3.500001427189156,1.5000014271891562,0.05,0.05,0.0
3,True,15.86515451964907,41.751579627490656,0.6,0.5000030452501029,0.09999695474989712,2.0,3.500007020185353,1.500007020185353,0.05,0.05,0.0
4,True,18.525628792483783,47.07252817316008,0.6,0.4999999974686419,0.1000000025313581,2.0,3.5000000077490556,1.5000000077490556,0.05,0.05,0.0
0,True,14.053336133299656,38.127942854791826,0.6,0.5000065437569442,0.09999345624305578,4.5,3.500020032279421,0.999979967720579,0.05,0.05,0.0
1,True,12.886608981448413,35.79448855108934,0.6,0.5000100953540925,0.09998990464590751,4.5,3.5000308975130303,0.9999691024869697,0.05,0.05,0.0
